		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2
Q16576-Q13330	Q86YP4-Q16576	yes	27	yes	261	['huMAP3_09499.1', 'huMAP3_10472.1', 'huMAP3_15128.1']	0.316	70.35172576611708	Q16576	Q13330	Q86YP4
P15408-P17275	P15336-P15408	yes	17	yes	93	['huMAP3_10133.1', 'huMAP3_15260.1', 'huMAP3_06833.1', 'huMAP3_09690.1']	0.387	85.00191859235804	P15408	P15336	P17275
Q9BSJ2-Q08AG7	Q96CW5-Q9BSJ2	no	0	yes	11	['huMAP3_14882.1', 'huMAP3_00522.1', 'huMAP3_09443.1']	0.252	73.6750529424038	Q9BSJ2	Q96CW5	Q08AG7
Q9UBT2-Q9UBE0	P63279-Q9UBT2	no	0	no	0	['huMAP3_07649.1']	0.535	74.88423991740261	Q9UBT2	P63279	Q9UBE0
O15400-O95721	O15400-O14653	no	0	yes	56	['huMAP3_13160.1', 'huMAP3_08929.1', 'huMAP3_10587.1']	0.349	79.3051184822096	O15400	O14653	O95721
O94874-Q96HY6	O94874-Q96JB5	no	0	yes	4	['huMAP3_14075.1', 'huMAP3_12534.1', 'huMAP3_03937.1']	0.503	86.17101922975175	O94874	Q96JB5	Q96HY6
P24941-P20248	P38936-P20248	no	0	yes	32	['huMAP3_14722.1', 'huMAP3_10449.1']	0.311	74.69230200631293	P20248	P24941	P38936
A0JLT2-O60244	O75586-O60244	no	0	yes	14	['huMAP3_02730.1']	0.276	73.56965548038926	O60244	A0JLT2	O75586
Q9NV70-Q96KP1	O60645-Q96KP1	yes	13	yes	40	['huMAP3_09839.1', 'huMAP3_12587.1', 'huMAP3_04054.1', 'huMAP3_07009.1']	0.573	75.88618654867685	Q96KP1	O60645	Q9NV70
P31150-P51153	P31150-P61106	yes	11	yes	176	['huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1']	0.388	74.69707831055149	P31150	P61106	P51153
Q86SZ2-Q9Y5R8	Q9Y5R8-O75865	yes	10	yes	145	['huMAP3_04127.1', 'huMAP3_07907.1', 'huMAP3_12177.1']	0.314	90.70150646498227	Q9Y5R8	Q86SZ2	O75865
O75864-P62136	Q9GZN8-P62136	yes	14	yes	124	['huMAP3_14504.1']	0.266	71.29807094446122	P62136	O75864	Q9GZN8
P62714-P30153	P62714-Q9Y3A3	no	0	yes	1	['huMAP3_13510.1', 'huMAP3_09709.1', 'huMAP3_10333.1']	0.249	81.97572281228247	P62714	Q9Y3A3	P30153
Q9BYD2-Q9BYD6	Q13084-Q9BYD2	no	0	no	0	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.483	85.84297720251595	Q9BYD2	Q13084	Q9BYD6
Q96BD8-Q8IX90	Q96BD8-Q8WVK7	no	0	yes	42	['huMAP3_10080.1', 'huMAP3_13058.1', 'huMAP3_13681.1', 'huMAP3_10604.1', 'huMAP3_02347.1']	0.625	84.3108455660484	Q96BD8	Q8WVK7	Q8IX90
Q9Y6Q5-O75843	P56377-O75843	yes	13	yes	137	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_03095.1', 'huMAP3_05843.1', 'huMAP3_06769.1', 'huMAP3_10876.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.51	74.03539479205467	O75843	Q9Y6Q5	P56377
P31150-P61106	P31150-P51151	yes	13	yes	183	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_09217.1']	0.388	74.69707831055149	P31150	P61106	P51151
O14770-P40424	P40424-P55347	yes	58	yes	226	['huMAP3_11161.1', 'huMAP3_10672.1']	0.647	81.18815499294396	P40424	P55347	O14770
Q9NP71-Q9UH92	Q9HAP2-Q9UH92	yes	60	yes	413	['huMAP3_01611.1', 'huMAP3_14313.1', 'huMAP3_13287.1', 'huMAP3_08137.1', 'huMAP3_13611.1', 'huMAP3_04414.1', 'huMAP3_13077.1']	0.711	88.69130411923881	Q9UH92	Q9NP71	Q9HAP2
P61026-P31150	P31150-P51151	yes	24	yes	194	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_11860.1', 'huMAP3_09217.1']	0.582	75.46513308030532	P31150	P61026	P51151
Q9Y6W5-Q96F07	Q9UPY6-Q96F07	yes	95	yes	321	['huMAP3_09598.1', 'huMAP3_02474.1', 'huMAP3_13345.1']	0.706	73.71839403752206	Q96F07	Q9Y6W5	Q9UPY6
P61966-O43747	Q10567-O43747	yes	13	yes	64	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_04311.1', 'huMAP3_10876.1', 'huMAP3_06769.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.52	70.56466026234425	O43747	Q10567	P61966
Q14CW9-A6NNY8	Q9UPT9-Q14CW9	yes	12	yes	323	['huMAP3_12550.1', 'huMAP3_07996.1', 'huMAP3_10397.1', 'huMAP3_00902.1']	0.505	82.09855113372062	Q14CW9	Q9UPT9	A6NNY8
Q9HCS7-Q9ULR0	O95926-Q9HCS7	no	0	yes	20	['huMAP3_09504.1', 'huMAP3_06726.1', 'huMAP3_09945.1', 'huMAP3_15168.1', 'huMAP3_08501.1', 'huMAP3_09187.1']	0.596	79.50695406863377	Q9HCS7	Q9ULR0	O95926
O75528-Q96ES7	O75528-Q86TJ2	no	0	yes	14	['huMAP3_10397.1', 'huMAP3_12550.1', 'huMAP3_10385.1', 'huMAP3_00902.1']	0.703	91.0574807412192	O75528	Q96ES7	Q86TJ2
O75586-O60244	O60244-Q13503	no	0	yes	11	['huMAP3_02730.1']	0.276	76.32868865551556	O60244	Q13503	O75586
P26641-P68104	Q05639-P26641	yes	22	yes	426	['huMAP3_08052.1', 'huMAP3_05568.1', 'huMAP3_12041.1', 'huMAP3_00469.1']	0.588	81.10466851285902	P26641	P68104	Q05639
Q7L5Y9-Q6VN20	Q6VN20-Q8IVV7	no	0	no	0	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1']	0.319	81.11471431236751	Q6VN20	Q7L5Y9	Q8IVV7
Q9Y265-Q8N5I9	Q9Y265-Q9Y230	no	0	yes	1	['huMAP3_14133.1', 'huMAP3_02648.1', 'huMAP3_10481.1', 'huMAP3_07843.1', 'huMAP3_09291.1', 'huMAP3_14306.1']	0.335	74.39103357618714	Q9Y265	Q8N5I9	Q9Y230
P22694-P13861	P22694-P31321	yes	42	yes	327	['huMAP3_07046.1', 'huMAP3_14681.1', 'huMAP3_11135.1', 'huMAP3_13352.1']	0.684	79.96067580204114	P22694	P13861	P31321
Q9Y2H1-Q70IA6	Q9Y2H1-Q9H8S9	yes	26	yes	199	['huMAP3_00730.1', 'huMAP3_11381.1', 'huMAP3_02959.1']	0.488	78.84157535081818	Q9Y2H1	Q9H8S9	Q70IA6
Q92784-Q9BQE9	Q92784-Q8WUZ0	yes	14	yes	81	['huMAP3_03221.1', 'huMAP3_11470.1']	0.259	80.10596154980318	Q92784	Q8WUZ0	Q9BQE9
P62136-Q15435	P62136-Q8NI77	yes	18	yes	131	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1']	0.502	74.01205952819656	P62136	Q15435	Q8NI77
Q15118-Q15119	Q15118-Q15120	yes	30	yes	404	['huMAP3_14339.1', 'huMAP3_14864.1', 'huMAP3_04919.1', 'huMAP3_11877.1', 'huMAP3_10899.1', 'huMAP3_12248.1', 'huMAP3_08216.1', 'huMAP3_09761.1', 'huMAP3_07514.1', 'huMAP3_10412.1']	0.672	82.98164264691128	Q15118	Q15119	Q15120
P31150-P51151	P31150-Q15286	yes	18	yes	180	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.387	74.55203133585788	P31150	P51151	Q15286
P43686-P62195	Q99460-P62195	no	0	yes	35	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.239	72.66120236816174	P62195	Q99460	P43686
Q9UJX4-Q9UJX2	Q9UJX2-Q9BS18	no	0	no	0	['huMAP3_12747.1', 'huMAP3_03388.1']	0.305	77.73753972686433	Q9UJX2	Q9UJX4	Q9BS18
O14867-O60675	Q9ULX9-O14867	yes	28	yes	123	['huMAP3_09866.1', 'huMAP3_13906.1']	0.501	82.26302711551715	O14867	Q9ULX9	O60675
Q6VN20-Q9H7D7	Q7L5Y9-Q6VN20	yes	13	yes	281	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.344	81.11471431236751	Q6VN20	Q7L5Y9	Q9H7D7
O15400-O14653	O15400-Q5SQN1	no	0	yes	45	['huMAP3_13160.1', 'huMAP3_10587.1', 'huMAP3_08929.1', 'huMAP3_06458.1']	0.349	75.63167621136171	O15400	Q5SQN1	O14653
Q16718-O75489	O75489-O75251	no	0	no	0	['huMAP3_09567.1', 'huMAP3_14018.1', 'huMAP3_06397.1', 'huMAP3_08132.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.424	85.12723750485956	O75489	Q16718	O75251
Q13573-Q9Y3C6	Q96DF8-Q13573	no	0	no	0	['huMAP3_09504.1', 'huMAP3_00309.1', 'huMAP3_09945.1', 'huMAP3_08703.1', 'huMAP3_15168.1', 'huMAP3_08501.1', 'huMAP3_09187.1']	0.492	79.87284561861362	Q13573	Q96DF8	Q9Y3C6
Q9HC52-P35227	P78364-P35227	yes	15	yes	146	['huMAP3_14051.1', 'huMAP3_10162.1', 'huMAP3_09551.1']	0.423	73.03677789554622	P35227	Q9HC52	P78364
Q8TAQ2-Q92925	Q12824-Q8TAQ2	no	0	yes	38	['huMAP3_03221.1', 'huMAP3_11470.1']	0.501	72.10725141825935	Q8TAQ2	Q92925	Q12824
Q9NQC1-Q9HAF1	Q9UNL4-Q9HAF1	no	0	yes	24	['huMAP3_03602.1', 'huMAP3_08842.1']	0.262	78.47704345509268	Q9HAF1	Q9NQC1	Q9UNL4
P53618-Q9Y678	O14579-Q9Y678	no	0	yes	35	['huMAP3_09332.1', 'huMAP3_11357.1', 'huMAP3_04405.1', 'huMAP3_12869.1']	0.311	70.40260859216662	Q9Y678	P53618	O14579
Q9Y6Q5-O75843	Q9Y6Q5-Q10567	yes	20	yes	538	['huMAP3_08695.1', 'huMAP3_12376.1', 'huMAP3_04311.1', 'huMAP3_10876.1', 'huMAP3_06769.1', 'huMAP3_10762.1', 'huMAP3_13055.1', 'huMAP3_06557.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.51	74.03539479205467	Q9Y6Q5	Q10567	O75843
P31150-P61006	Q13636-P31150	yes	16	yes	197	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_11860.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.423	72.82127593925874	P31150	Q13636	P61006
P62136-Q9H788	Q6PJW8-P62136	yes	15	yes	199	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_08482.1']	0.478	74.21210222517954	P62136	Q9H788	Q6PJW8
Q96CW1-O95782	Q96CW1-Q9NVZ3	no	0	yes	50	['huMAP3_08540.1', 'huMAP3_08320.1', 'huMAP3_09403.1', 'huMAP3_09107.1', 'huMAP3_10876.1', 'huMAP3_06283.1', 'huMAP3_10762.1', 'huMAP3_12394.1', 'huMAP3_05849.1', 'huMAP3_12918.1']	0.232	78.46827716134018	Q96CW1	Q9NVZ3	O95782
Q13547-O75182	Q14687-Q13547	yes	25	yes	395	['huMAP3_08800.1', 'huMAP3_15128.1', 'huMAP3_09031.1']	0.263	70.44835825215644	Q13547	O75182	Q14687
Q9H6D7-Q68CZ6	O94927-Q68CZ6	no	0	yes	50	['huMAP3_02903.1', 'huMAP3_14852.1']	0.641	79.22616148767827	Q68CZ6	O94927	Q9H6D7
Q12996-Q9H0L4	P33240-Q12996	yes	31	yes	311	['huMAP3_09096.1', 'huMAP3_11757.1']	0.604	72.61916154787882	Q12996	P33240	Q9H0L4
P11142-P54652	P34932-P11142	yes	22	yes	548	['huMAP3_11049.1', 'huMAP3_14723.1', 'huMAP3_07919.1', 'huMAP3_06506.1']	0.668	75.5928446149928	P11142	P34932	P54652
Q6PJW8-P36873	Q9GZN8-P36873	yes	23	yes	84	['huMAP3_14504.1']	0.434	73.03739938208689	P36873	Q6PJW8	Q9GZN8
P82673-P82933	Q9Y291-P82673	no	0	yes	18	['huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_05954.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.423	86.18963653509174	P82673	Q9Y291	P82933
P62136-Q9H788	P62136-Q8NI77	yes	14	yes	177	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_08482.1']	0.502	74.01205952819656	P62136	Q9H788	Q8NI77
O60826-Q7Z3J2	O60826-Q567U6	no	0	yes	71	['huMAP3_14444.1', 'huMAP3_07032.1']	0.467	78.72061061518988	O60826	Q7Z3J2	Q567U6
P62136-Q12972	P62136-Q96QC0	yes	32	yes	85	['huMAP3_14504.1']	0.569	80.05826843209277	P62136	Q12972	Q96QC0
Q15363-P49755	P49755-Q9Y3A6	yes	29	yes	199	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.658	80.00437350077569	P49755	Q15363	Q9Y3A6
Q9BSI4-P54274	Q9BSI4-Q96AP0	no	0	yes	13	['huMAP3_03416.1', 'huMAP3_13182.1']	0.327	81.34168342047333	Q9BSI4	P54274	Q96AP0
Q9BYD3-Q9NZE8	Q9BYD3-Q8N5N7	no	0	yes	7	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.317	81.65405353024939	Q9BYD3	Q9NZE8	Q8N5N7
Q7Z7F7-Q9NQ50	Q9H2W6-Q9NQ50	no	0	yes	5	['huMAP3_00983.1', 'huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_06589.1', 'huMAP3_09602.1', 'huMAP3_10701.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.304	75.971660913665	Q9NQ50	Q7Z7F7	Q9H2W6
P31150-P61106	P31150-P51149	yes	13	yes	184	['huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1']	0.388	73.58835435256536	P31150	P61106	P51149
P31150-P61106	Q13636-P31150	yes	11	yes	186	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_07302.1', 'huMAP3_09217.1']	0.388	74.69707831055149	P31150	P61106	Q13636
Q13547-Q96ST3	Q13547-O75182	yes	73	yes	771	['huMAP3_08800.1', 'huMAP3_09031.1', 'huMAP3_15128.1']	0.72	83.76104201732342	Q13547	Q96ST3	O75182
P61160-Q9BPX5	P61158-P61160	no	0	yes	3	['huMAP3_14624.1', 'huMAP3_09309.1', 'huMAP3_14885.1', 'huMAP3_10743.1']	0.322	80.0278587036909	P61160	Q9BPX5	P61158
Q13155-O43324	Q13155-Q12904	no	0	yes	32	['huMAP3_13688.1', 'huMAP3_02637.1']	0.232	78.96611799619019	Q13155	O43324	Q12904
Q9BSJ2-Q6P582	Q96CW5-Q9BSJ2	no	0	yes	51	['huMAP3_14882.1', 'huMAP3_09443.1']	0.444	77.13206496597442	Q9BSJ2	Q6P582	Q96CW5
Q13573-O95926	O95926-Q9BZJ0	no	0	yes	12	['huMAP3_09504.1', 'huMAP3_06429.1', 'huMAP3_06726.1', 'huMAP3_09945.1', 'huMAP3_08703.1', 'huMAP3_15168.1', 'huMAP3_08501.1', 'huMAP3_09187.1']	0.276	82.69399761454659	O95926	Q9BZJ0	Q13573
O15525-O14867	Q9ULX9-O14867	yes	28	yes	134	['huMAP3_09866.1', 'huMAP3_13906.1']	0.476	82.28510800465807	O14867	O15525	Q9ULX9
Q13547-O14519	Q9P0W2-Q13547	no	0	yes	53	['huMAP3_15128.1']	0.24	70.06998133743356	Q13547	Q9P0W2	O14519
Q9NZI6-Q12800	Q12800-Q9NZI7	yes	27	yes	210	['huMAP3_14767.1', 'huMAP3_09356.1', 'huMAP3_13814.1', 'huMAP3_11526.1', 'huMAP3_09828.1', 'huMAP3_15156.1', 'huMAP3_14992.1']	0.639	83.57965482849788	Q12800	Q9NZI6	Q9NZI7
Q8N488-P35226	Q8N488-Q99496	no	0	no	0	['huMAP3_14051.1', 'huMAP3_10162.1']	0.352	84.6927625969701	Q8N488	P35226	Q99496
O75420-O60573	Q6Y7W6-O60573	yes	38	yes	428	['huMAP3_07906.1', 'huMAP3_09382.1', 'huMAP3_13436.1', 'huMAP3_03545.1']	0.59	85.21044746921378	O60573	Q6Y7W6	O75420
P62136-Q9H788	P62140-Q9H788	yes	27	yes	316	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_00020.1', 'huMAP3_08482.1']	0.596	73.9622612185376	Q9H788	P62140	P62136
P15313-P36543	P15313-P21281	no	0	no	0	['huMAP3_10511.1', 'huMAP3_08678.1', 'huMAP3_01501.1', 'huMAP3_01413.1', 'huMAP3_07099.1', 'huMAP3_09477.1', 'huMAP3_12042.1', 'huMAP3_01899.1', 'huMAP3_05805.1', 'huMAP3_09873.1', 'huMAP3_13872.1', 'huMAP3_08381.1', 'huMAP3_10516.1', 'huMAP3_09242.1', 'huMAP3_07329.1']	0.309	82.96178558923775	P15313	P21281	P36543
Q9Y2Y1-O14802	Q9BUI4-O14802	no	0	no	0	['huMAP3_06426.1', 'huMAP3_00807.1', 'huMAP3_11092.1', 'huMAP3_09057.1', 'huMAP3_08487.1', 'huMAP3_14318.1']	0.405	70.8953174634893	O14802	Q9Y2Y1	Q9BUI4
P28331-P19404	O43678-P28331	no	0	no	0	['huMAP3_02819.1', 'huMAP3_09567.1', 'huMAP3_14018.1', 'huMAP3_06397.1', 'huMAP3_14878.1', 'huMAP3_14184.1', 'huMAP3_09982.1']	0.293	80.46251968386835	P28331	P19404	O43678
Q15363-P49755	Q15363-Q9BVK6	no	0	yes	20	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.614	80.00437350077569	Q15363	P49755	Q9BVK6
P52434-O95602	O95602-Q9GZS1	no	0	no	0	['huMAP3_06426.1', 'huMAP3_00807.1', 'huMAP3_11092.1', 'huMAP3_09057.1', 'huMAP3_08487.1', 'huMAP3_14318.1']	0.476	72.65787489198938	O95602	Q9GZS1	P52434
P31150-P61106	P31150-P61018	yes	13	yes	197	['huMAP3_01895.1', 'huMAP3_11094.1', 'huMAP3_06994.1', 'huMAP3_08941.1', 'huMAP3_09217.1']	0.388	74.69707831055149	P31150	P61106	P61018
Q8WUF5-P62136	P62136-O60927	yes	17	yes	70	['huMAP3_10148.1', 'huMAP3_06341.1', 'huMAP3_14504.1']	0.388	74.70952136279297	P62136	Q8WUF5	O60927
Q4VC05-Q6STE5	Q8TAQ2-Q6STE5	no	0	yes	71	['huMAP3_03221.1', 'huMAP3_11470.1']	0.248	77.03186739885791	Q6STE5	Q4VC05	Q8TAQ2
P30876-P19387	P30876-P36954	no	0	no	0	['huMAP3_09843.1', 'huMAP3_11092.1', 'huMAP3_07454.1', 'huMAP3_07749.1', 'huMAP3_14318.1']	0.478	78.97108184837333	P30876	P19387	P36954
Q9UHD8-Q9P0V9	Q9P0V9-Q92599	yes	24	yes	192	['huMAP3_02362.1']	0.631	75.74523411063707	Q9P0V9	Q92599	Q9UHD8
O60826-Q7Z3J2	Q9UBQ0-Q7Z3J2	no	0	no	0	['huMAP3_14444.1', 'huMAP3_07032.1']	0.467	78.72061061518988	Q7Z3J2	Q9UBQ0	O60826
Q12824-Q92922	Q92922-Q96GM5	no	0	yes	68	['huMAP3_03221.1', 'huMAP3_11470.1']	0.519	73.69555145389508	Q92922	Q96GM5	Q12824
O75586-O60244	O60244-O43513	no	0	yes	35	['huMAP3_02730.1']	0.276	76.32868865551556	O60244	O43513	O75586
P62136-O60927	P62136-Q96QC0	yes	12	yes	40	['huMAP3_14504.1']	0.388	75.41847347877973	P62136	O60927	Q96QC0
Q8NHZ8-Q13042	Q8NHZ8-Q9UM11	no	0	yes	16	['huMAP3_12747.1', 'huMAP3_03388.1']	0.236	87.10302522402795	Q8NHZ8	Q9UM11	Q13042
P62136-Q9H788	P62136-Q12972	yes	25	yes	166	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_08482.1']	0.596	74.54558206419132	P62136	Q9H788	Q12972
Q92925-Q9BQE9	Q92785-Q9BQE9	no	0	no	0	['huMAP3_03221.1', 'huMAP3_11470.1']	0.25	83.00216847873591	Q9BQE9	Q92925	Q92785
Q99436-P28065	P28065-P40306	yes	10	yes	250	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.33	76.05066399160175	P28065	P40306	Q99436
Q6VN20-Q9NWU2	P62699-Q9NWU2	no	0	yes	12	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.247	86.39524329784328	Q9NWU2	Q6VN20	P62699
Q12905-Q12906	Q12905-Q96KR1	yes	45	yes	555	['huMAP3_10538.1', 'huMAP3_10625.1', 'huMAP3_11966.1', 'huMAP3_07115.1']	0.614	77.56398708164336	Q12905	Q12906	Q96KR1
Q86Y82-Q96AJ9	Q86Y82-O60499	yes	16	yes	46	['huMAP3_13160.1', 'huMAP3_06458.1', 'huMAP3_08929.1', 'huMAP3_10587.1']	0.332	71.26567476334665	Q86Y82	O60499	Q96AJ9
P31150-P51153	P31150-P61020	yes	12	yes	178	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.401	77.1893184415882	P31150	P61020	P51153
Q9NP92-Q9NRX2	Q9NP92-Q9BZE1	no	0	yes	5	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.251	86.6384368365392	Q9NP92	Q9NRX2	Q9BZE1
P20700-P02545	P02545-Q03252	yes	70	yes	60	['huMAP3_13519.1', 'huMAP3_10614.1', 'huMAP3_00325.1', 'huMAP3_10433.1', 'huMAP3_10492.1']	0.734	85.81332966750092	P02545	P20700	Q03252
Q9NVC6-Q9H944	O75586-Q9NVC6	no	0	no	0	['huMAP3_02730.1']	0.248	82.7596639361509	Q9NVC6	Q9H944	O75586
P62136-Q9H788	P62136-Q15435	yes	19	yes	165	['huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_00020.1']	0.596	74.54558206419132	P62136	Q9H788	Q15435
Q9UJW0-Q9NZ32	P61163-Q9NZ32	no	0	no	0	['huMAP3_09952.1', 'huMAP3_12900.1', 'huMAP3_04946.1']	0.589	80.16664944545985	Q9NZ32	P61163	Q9UJW0
O00231-Q15008	O00231-O00487	no	0	no	0	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.232	73.73388967605744	O00231	Q15008	O00487
P19532-P19484	O75030-P19484	yes	18	yes	139	['huMAP3_12897.1', 'huMAP3_04102.1', 'huMAP3_13503.1', 'huMAP3_13402.1']	0.624	86.0632702543525	P19484	O75030	P19532
Q9HCS7-Q99459	Q9HCS7-Q9ULR0	no	0	no	0	['huMAP3_09504.1', 'huMAP3_09187.1', 'huMAP3_09945.1', 'huMAP3_15168.1']	0.283	75.00940126010572	Q9HCS7	Q9ULR0	Q99459
Q9NVC6-Q9H944	Q9P086-Q9NVC6	no	0	no	0	['huMAP3_02730.1']	0.248	80.2407482566872	Q9NVC6	Q9P086	Q9H944
P68371-Q9BQE3	Q13509-Q9BQE3	yes	26	yes	439	['huMAP3_09233.1', 'huMAP3_14709.1', 'huMAP3_10475.1', 'huMAP3_10665.1']	0.671	86.06296048780001	Q9BQE3	Q13509	P68371
Q9P015-Q13405	Q9P015-Q9BYD3	no	0	yes	38	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_04652.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.452	87.72481512866517	Q9P015	Q9BYD3	Q13405
Q9Y6Q5-P63010	Q9Y6Q5-O43747	yes	22	yes	562	['huMAP3_12376.1', 'huMAP3_10876.1', 'huMAP3_10762.1', 'huMAP3_12394.1', 'huMAP3_12918.1']	0.603	73.72108808374031	Q9Y6Q5	O43747	P63010
Q8WUF5-P62136	P62136-Q8NI77	yes	20	yes	331	['huMAP3_10148.1', 'huMAP3_06341.1', 'huMAP3_14504.1']	0.502	74.01205952819656	P62136	Q8NI77	Q8WUF5
P28066-P28065	P28065-P40306	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.241	76.59691694119624	P28065	P28066	P40306
Q96F07-Q92558	Q9UPY6-Q96F07	yes	97	yes	371	['huMAP3_09598.1', 'huMAP3_02474.1', 'huMAP3_13345.1']	0.709	72.8172463560037	Q96F07	Q92558	Q9UPY6
P62136-Q13625	P62136-Q96QC0	yes	18	yes	295	['huMAP3_14504.1']	0.363	71.70402591004523	P62136	Q13625	Q96QC0
Q9NP92-Q9P0M9	Q9NP92-Q16540	no	0	no	0	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_03763.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.273	74.97704595635408	Q9NP92	Q16540	Q9P0M9
Q9UGJ1-P23258	Q9BSJ2-Q9UGJ1	no	0	yes	17	['huMAP3_14882.1', 'huMAP3_00522.1', 'huMAP3_09443.1']	0.51	73.83004855559084	Q9UGJ1	P23258	Q9BSJ2
