		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2	cmmn_p_homodimer	covariation_score	pair1_pdbs	pair2_pdbs	mutual_pair_structures	pair_struct_annot
P17980-P62195	Q99460-P62195	no	0	no	0	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.239	72.32275394599448	P62195	Q99460	P17980	no	0.972	{'7W3G', '5VHF', '7QY7', '6MSH', '5VHP', '5VFQ', '5L4G', '5T0C', '7W3J', '5T0J', '7QXU', '6MSJ', '5GJR', '5VFT', '5LN3', '5VHH', '7QXX', '5VFS', '5T0H', '5VHO', '6MSK', '7W3F', '5VHS', '5GJQ', '6MSB', '6WJN', '5VHN', '7W3A', '5T0I', '5VGZ', '7QXN', '7W3I', '5VHI', '7W3M', '7W3B', '8CVT', '5M32', '5VHJ', '5VFU', '6MSD', '7QXP', '7W3C', '7QYB', '5VHR', '5T0G', '5VHM', '6MSG', '7QXW', '7W37', '7QYA', '5VHQ', '6WJD', '5VFP', '7W39', '7W3H', '7W3K', '5VFR', '7W38'}	{'7W3G', '5VHF', '7QY7', '6MSH', '5VFQ', '5T0C', '7W3J', '5T0J', '7QXU', '6MSJ', '5GJR', '5VFT', '5LN3', '5VHH', '7QXX', '5VFS', '5T0H', '6MSK', '7W3F', '5VHS', '5GJQ', '6MSB', '6WJN', '7W3A', '5T0I', '5VGZ', '7QXN', '7W3I', '7W3M', '5VHI', '7W3B', '8CVT', '5M32', '7QXP', '5VFU', '6MSD', '7W3C', '7QYB', '5T0G', '6MSG', '7QXW', '7W37', '7QYA', '6WJD', '5VFP', '7W39', '7W3H', '7W3K', '5VFR', '7W38'}	{'7W3G', '5VHF', '7QY7', '6MSH', '5VFQ', '5T0C', '7W3J', '5T0J', '7QXU', '6MSJ', '5GJR', '5VFT', '5LN3', '5VHH', '7QXX', '5VFS', '5T0H', '6MSK', '7W3F', '5VHS', '5GJQ', '6MSB', '6WJN', '7W3A', '5T0I', '5VGZ', '7QXN', '7W3I', '7W3M', '5VHI', '7W3B', '8CVT', '7W38', '5M32', '7QXP', '5VFU', '6MSD', '7W3C', '7QYB', '5T0G', '6MSG', '7QXW', '7W37', '7QYA', '6WJD', '7W39', '7W3H', '7W3K', '5VFR', '5VFP'}	yes structural evidence
P22694-P13861	P22694-P31323	yes	42	yes	341	['huMAP3_07046.1', 'huMAP3_14681.1', 'huMAP3_11135.1', 'huMAP3_13352.1']	0.681	79.45304102513659	P22694	P13861	P31323	no	0.074	{'No overlap'}	{'None'}	{'No mutual structures'}	no structural evidence
Q9Y3U8-P26373	Q9Y3U8-P62424	no	0	no	0	['huMAP3_07654.1', 'huMAP3_10538.1', 'huMAP3_09015.1', 'huMAP3_11966.1']	0.26	84.99406381937052	Q9Y3U8	P26373	P62424	no	1.0	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	yes structural evidence
Q9Y399-P82933	P82673-P82933	no	0	no	0	['huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_05807.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.555	86.18963653509174	P82933	P82673	Q9Y399	no	0.992	{'6ZM6', '7A5G', '3J9M', '7A5F', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VMI', '6VLZ', '8CSQ', '7A5I', '7PNX'}	{'6ZM6', '7A5G', '3J9M', '7A5F', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VMI', '6VLZ', '8CSQ', '7A5I', '7PNX'}	{'6ZM6', '7A5G', '3J9M', '7A5F', '7PNX', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VLZ', '8CSQ', '7A5I', '6VMI'}	yes structural evidence
Q16576-Q13330	Q9NP50-Q16576	yes	18	yes	51	['huMAP3_15128.1']	0.231	78.3301371252665	Q16576	Q13330	Q9NP50	no	0.1	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P53618-Q9Y678	P53618-P48444	no	0	no	0	['huMAP3_09332.1', 'huMAP3_11357.1', 'huMAP3_04405.1', 'huMAP3_12869.1']	0.716	82.7973639743275	P53618	Q9Y678	P48444	no	0.85	{'No overlap'}	{'None'}	{'No mutual structures'}	no structural evidence
Q07866-Q9H0B6	Q07866-Q9NSK0	yes	35	yes	423	['huMAP3_10340.1', 'huMAP3_09851.1', 'huMAP3_14331.1', 'huMAP3_04401.1', 'huMAP3_11266.1', 'huMAP3_14054.1', 'huMAP3_12367.1']	0.452	77.69909263156535	Q07866	Q9H0B6	Q9NSK0	yes	0.154	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
O15482-Q9ULS5	O15482-O94876	yes	27	yes	226	['huMAP3_03087.1']	0.506	72.15355803485508	O15482	Q9ULS5	O94876	no	0.078	{'None'}	{'None'}	{'None'}	no structural evidence
Q6IQ22-P31150	P31150-P61020	yes	24	yes	199	['huMAP3_08941.1', 'huMAP3_11094.1', 'huMAP3_09217.1']	0.526	74.33777882538585	P31150	P61020	Q6IQ22	no	0.072	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P68371-Q9BQE3	Q9BUF5-Q9BQE3	yes	26	yes	436	['huMAP3_09233.1', 'huMAP3_14709.1', 'huMAP3_10475.1', 'huMAP3_10665.1']	0.671	86.06296048780001	Q9BQE3	Q9BUF5	P68371	no	0.84	{'No overlap'}	{'None'}	{'No mutual structures'}	no structural evidence
Q9Y399-Q9Y3D9	Q9Y399-P82664	no	0	yes	6	['huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_09602.1', 'huMAP3_05807.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.253	80.61567432600006	Q9Y399	Q9Y3D9	P82664	no	0.966	{'6ZM6', '7A5G', '3J9M', '7A5F', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VMI', '6VLZ', '8CSQ', '7A5I', '7PNX'}	{'6ZM6', '7A5G', '3J9M', '7A5F', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VMI', '6VLZ', '8CSQ', '7A5I', '7PNX'}	{'6ZM6', '7A5G', '3J9M', '7A5F', '7PNX', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VLZ', '8CSQ', '7A5I', '6VMI'}	yes structural evidence
Q9Y366-Q86WT1	Q9NQC8-Q86WT1	yes	65	yes	41	['huMAP3_13817.1', 'huMAP3_05411.1']	0.695	73.5943434979475	Q86WT1	Q9NQC8	Q9Y366	no	0.196	{'None'}	{'None'}	{'None'}	no structural evidence
Q16539-Q16644	Q16539-Q9BUB5	yes	20	yes	219	['huMAP3_14776.1', 'huMAP3_07936.1', 'huMAP3_05402.1', 'huMAP3_06585.1', 'huMAP3_10997.1']	0.342	71.08789937233286	Q16539	Q9BUB5	Q16644	no	0.224	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
O60671-Q99638	O60921-Q99638	no	0	yes	1	['huMAP3_09595.1', 'huMAP3_01683.1', 'huMAP3_12787.1', 'huMAP3_01448.1']	0.455	79.32937056618847	Q99638	O60671	O60921	no	0.666	{'7Z6H', '6J8Y', '3A1J', '3GGR', '8WU8', '8GNN', '3G65'}	{'7Z6H', '6J8Y', '3A1J', '3GGR', '8WU8', '8GNN', '3G65'}	{'7Z6H', '6J8Y', '3A1J', '3GGR', '8WU8', '8GNN', '3G65'}	yes structural evidence
P33992-Q14566	P33992-Q9BTE3	no	0	no	0	['huMAP3_12180.1', 'huMAP3_14758.1', 'huMAP3_11832.1', 'huMAP3_08554.1', 'huMAP3_11119.1', 'huMAP3_05529.1']	0.254	70.05219372420852	P33992	Q14566	Q9BTE3	no	0.304	{'7PFO', '8B9D', '7PLO', '7W1Y', '6XTY', '7W68', '6XTX'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
P60510-Q9NY27	P60510-Q6IN85	no	0	yes	86	['huMAP3_11192.1', 'huMAP3_13486.1']	0.603	74.34469257311686	P60510	Q9NY27	Q6IN85	no	0.526	{'None'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
P31150-P61006	P31150-P20338	yes	11	yes	186	['huMAP3_11094.1', 'huMAP3_08941.1', 'huMAP3_11860.1', 'huMAP3_09217.1', 'huMAP3_06607.1']	0.414	72.82127593925874	P31150	P20338	P61006	no	0.232	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9HCS7-Q99459	O95926-Q9HCS7	no	0	yes	14	['huMAP3_09504.1', 'huMAP3_09187.1', 'huMAP3_09945.1', 'huMAP3_15168.1']	0.283	75.00940126010572	Q9HCS7	O95926	Q99459	no	0.406	{'7W59', '5Z57', '6ICZ', '7A5P', '8C6J', '7W5B', '5XJC', '6ID0', '6FF7', '6ID1', '5Z56', '6QDV', '8CH6', '5YZG', '7ABI', '7W5A', '5MQF'}	{'7W59', '6ICZ', '7A5P', '8C6J', '7W5B', '5XJC', '6ID0', '6ID1', '6QDV', '5YZG', '7W5A', '5MQF'}	{'7W59', '6ICZ', '7A5P', '8C6J', '7W5B', '5XJC', '6ID0', '6ID1', '6QDV', '5YZG', '7W5A', '5MQF'}	yes structural evidence
P62136-Q12972	P62136-Q6NYC8	yes	28	yes	144	['huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_06304.1']	0.462	71.9601633772259	P62136	Q12972	Q6NYC8	no	0.026	{'3V4Y'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
P60709-Q01518	P23528-P60709	yes	16	yes	21	['huMAP3_14885.1']	0.58	82.9053992098578	P60709	P23528	Q01518	no	0.41	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
O94776-Q16576	Q16576-O14929	yes	30	yes	246	['huMAP3_15128.1']	0.589	77.6860242517132	Q16576	O14929	O94776	no	0.23	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q9NP92-Q16540	Q9NP92-Q9BZE1	no	0	no	0	['huMAP3_09602.1', 'huMAP3_08458.1', 'huMAP3_11966.1', 'huMAP3_06550.1', 'huMAP3_08556.1', 'huMAP3_09483.1', 'huMAP3_06589.1', 'huMAP3_03763.1', 'huMAP3_09113.1', 'huMAP3_10701.1', 'huMAP3_07939.1', 'huMAP3_10538.1', 'huMAP3_06439.1']	0.407	86.6384368365392	Q9NP92	Q16540	Q9BZE1	no	0.972	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	{'7OF5', '6ZM6', '7A5G', '5OOL', '3J9M', '7PO4', '7A5F', '7ODS', '6ZS9', '5OOM', '8OIT', '7O9M', '7OIE', '7OI6', '6ZSG', '6NU2', '7OG4', '6I9R', '6ZSC', '8QSJ', '7O9K', '7QH6', '7QI6', '7OIA', '7OIB', '8ANY', '6ZSD', '7L08', '7OI7', '7OI9', '8OIR', '6ZSB', '7ODR', '7A5J', '8PK0', '6ZSA', '7OF7', '7OF2', '7QI5', '7OID', '6NU3', '7OIC', '7QH7', '6ZSE', '7OF4', '7A5K', '3J7Y', '6ZM5', '7L20', '7OF3', '7OI8', '7OF0', '7PD3', '7QI4', '7ODT', '7A5H', '7OF6', '6VLZ', '7A5I', '6VMI'}	yes structural evidence
P62136-Q9UQ13	P62136-Q96QC0	yes	14	yes	369	['huMAP3_14504.1']	0.569	80.63877654667512	P62136	Q9UQ13	Q96QC0	no	0.05	{'7UPI', '7TXH', '7TVF'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q15438-O60759	O43739-O60759	yes	20	yes	349	['huMAP3_14717.1', 'huMAP3_13456.1', 'huMAP3_03599.1', 'huMAP3_04004.1', 'huMAP3_13655.1']	0.31	70.98391392645163	O60759	Q15438	O43739	yes	0.11	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q99418-O60759	O43739-O60759	yes	25	yes	341	['huMAP3_14717.1', 'huMAP3_13456.1', 'huMAP3_03599.1', 'huMAP3_04004.1', 'huMAP3_13655.1']	0.297	70.98391392645163	O60759	Q99418	O43739	yes	0.112	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P56192-Q13155	Q15046-Q13155	no	0	yes	89	['huMAP3_13688.1', 'huMAP3_02637.1']	0.494	76.57709203947041	Q13155	P56192	Q15046	yes	0.53	{'5Y6L'}	{'4YCU', '4YCW', '6ILD', '4DPG'}	{'No mutual structures'}	no structural evidence
P18124-P46778	P36578-P18124	no	0	no	0	['huMAP3_05933.1', 'huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_10538.1']	0.318	91.10427755862912	P18124	P46778	P36578	no	1.0	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '8FL0', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '8FL0', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '8FKU', '8FKW', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '7OW7', '6LQM', '8IDT', '8FKS', '8IPY', '8FL6', '6Y2L', '6OLE', '8FKV', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '8FKP', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '8FL0', '7QVP', '8IPX', '7BHP', '6XA1', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8FKY', '8G6J', '8IR1', '6Z6L', '8FKT', '8FKR', '8IFE', '6OLF', '7XNX', '8OJ0', '8FKX', '8IFD', '8FKQ', '7XNY', '6LU8'}	yes structural evidence
O94874-Q96HY6	Q96HY6-Q96JB5	no	0	yes	13	['huMAP3_14075.1', 'huMAP3_12534.1', 'huMAP3_03937.1']	0.431	79.65734356202833	Q96HY6	Q96JB5	O94874	no	0.946	{'8OJ0', '8B9X', '8OJ5', '8C0D', '8OHD'}	{'8OJ0', '8OHD', '8OJ5'}	{'8OJ0', '8OJ5', '8OHD'}	yes structural evidence
P35998-P62195	Q99460-P62195	no	0	yes	9	['huMAP3_05064.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.239	72.66120236816174	P62195	Q99460	P35998	no	0.942	{'7W3G', '5VHF', '7QY7', '6MSH', '5VHP', '5VFQ', '5L4G', '5T0C', '7W3J', '5T0J', '7QXU', '6MSJ', '5GJR', '5VFT', '5LN3', '5VHH', '7QXX', '5VFS', '5T0H', '5VHO', '6MSK', '7W3F', '5VHS', '5GJQ', '6MSB', '6WJN', '5VHN', '7W3A', '5T0I', '5VGZ', '7QXN', '7W3I', '5VHI', '7W3M', '7W3B', '8CVT', '5M32', '5VHJ', '5VFU', '6MSD', '7QXP', '7W3C', '7QYB', '5VHR', '5T0G', '5VHM', '6MSG', '7QXW', '7W37', '7QYA', '5VHQ', '6WJD', '5VFP', '7W39', '7W3H', '7W3K', '5VFR', '7W38'}	{'7W3G', '5VHF', '7QY7', '6MSH', '5VFQ', '5T0C', '7W3J', '5T0J', '7QXU', '6MSJ', '5GJR', '5VFT', '5LN3', '5VHH', '7QXX', '5VFS', '5T0H', '6MSK', '7W3F', '5VHS', '5GJQ', '6MSB', '6WJN', '7W3A', '5T0I', '5VGZ', '7QXN', '7W3I', '7W3M', '5VHI', '7W3B', '8CVT', '5M32', '7QXP', '5VFU', '6MSD', '7W3C', '7QYB', '5T0G', '6MSG', '7QXW', '7W37', '7QYA', '6WJD', '5VFP', '7W39', '7W3H', '7W3K', '5VFR', '7W38'}	{'7W3G', '5VHF', '7QY7', '6MSH', '5VFQ', '5T0C', '7W3J', '5T0J', '7QXU', '6MSJ', '5GJR', '5VFT', '5LN3', '5VHH', '7QXX', '5VFS', '5T0H', '6MSK', '7W3F', '5VHS', '5GJQ', '6MSB', '6WJN', '7W3A', '5T0I', '5VGZ', '7QXN', '7W3I', '7W3M', '5VHI', '7W3B', '8CVT', '7W38', '5M32', '7QXP', '5VFU', '6MSD', '7W3C', '7QYB', '5T0G', '6MSG', '7QXW', '7W37', '7QYA', '6WJD', '7W39', '7W3H', '7W3K', '5VFR', '5VFP'}	yes structural evidence
P60709-Q01518	P60709-P62937	no	0	yes	85	['huMAP3_14885.1']	0.434	83.67237358067278	P60709	Q01518	P62937	no	0.3	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q6PJW8-P36873	P36873-O60927	yes	23	yes	73	['huMAP3_02357.1', 'huMAP3_06341.1', 'huMAP3_14504.1', 'huMAP3_09354.1', 'huMAP3_09633.1', 'huMAP3_10148.1', 'huMAP3_08717.1', 'huMAP3_06304.1', 'huMAP3_08482.1']	0.434	73.03739938208689	P36873	Q6PJW8	O60927	yes	0.19	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
P49755-Q13445	P49755-Q9Y3A6	yes	29	yes	210	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.661	83.14701803584961	P49755	Q13445	Q9Y3A6	no	0.272	{'No overlap'}	{'None'}	{'No mutual structures'}	no structural evidence
Q16576-O94776	Q9NP50-Q16576	yes	19	yes	52	['huMAP3_15128.1']	0.231	77.36345386090959	Q16576	O94776	Q9NP50	no	0.256	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
